Mutation Number,Layer Num,Accuracy,Loss
0,0,0.6958333,1.047631992
1,0,0.43216667,2.500339981
2,0,0.40316668,1.775050606
3,0,0.55841666,1.937622836
4,0,0.54008335,1.649622087
5,0,0.31166667,1.944172875
6,0,0.43766665,2.036078897
7,0,0.64891666,1.345816076
8,0,0.66583335,1.192838092
9,0,0.32333332,2.282960606
10,0,0.43516666,2.233101126
11,0,0.36666667,4.749249012
12,0,0.669,1.099749013
13,0,0.45658332,1.713649332
14,0,0.503,2.84620873
15,0,0.33933333,3.609628759
16,0,0.24616666,2.698580221
17,0,0.44883335,5.3930168
18,0,0.29533333,9.148769216
19,0,0.4115,4.749807948
0,1,0.319,11.17952129
1,1,0.48566666,5.459338937
2,1,0.39066666,9.824026287
3,1,0.32458332,11.53378475
4,1,0.25216666,17.13356319
5,1,0.32933334,12.10823628
6,1,0.3755,10.68516284
7,1,0.42333335,9.872378255
8,1,0.38591668,10.22720315
9,1,0.33566666,11.19811324
10,1,0.33533335,13.91188639
11,1,0.36975,10.49840007
12,1,0.4205,8.361967502
13,1,0.43425,7.964375253
14,1,0.31075,14.30417589
15,1,0.28925,18.41271029
16,1,0.43525,8.237250982
17,1,0.25141665,19.4335936
18,1,0.22483334,21.58705813
19,1,0.392,8.32623347
0,2,0.7696667,0.675103376
1,2,0.76283336,0.698825676
2,2,0.76491666,0.694527381
3,2,0.7571667,0.712800739
4,2,0.76475,0.69203032
5,2,0.7661667,0.688598368
6,2,0.76033336,0.706388218
7,2,0.7614167,0.708554412
8,2,0.76241666,0.69508164
9,2,0.7669167,0.681851883
10,2,0.76241666,0.703164175
11,2,0.75983334,0.697449548
12,2,0.7503333,0.719040241
13,2,0.75058335,0.72104645
14,2,0.75491667,0.715244744
15,2,0.761,0.702962704
16,2,0.76308334,0.693388929
17,2,0.758,0.710232444
18,2,0.7579167,0.70220314
19,2,0.75408334,0.716627956
0,3,0.66833335,3.464393437
1,3,0.58033335,5.988929541
2,3,0.59425,4.417026797
3,3,0.5913333,5.213127838
4,3,0.5861667,6.056731485
5,3,0.64925,3.417063156
6,3,0.6134167,4.402788704
7,3,0.5405833,6.609099733
8,3,0.54583335,8.446010492
9,3,0.63225,4.04451837
10,3,0.57566667,6.63145583
11,3,0.63241667,3.951874786
12,3,0.61275,4.113052708
13,3,0.56633335,6.363954164
14,3,0.6030833,4.859091774
15,3,0.58625,5.684006951
16,3,0.584,5.080275338
17,3,0.5705,5.269092962
18,3,0.5478333,6.314441982
19,3,0.61333334,4.950207023
0,4,0.3155,2.951960391
1,4,0.454,1.674328392
2,4,0.44191667,1.787148227
3,4,0.26475,4.244279699
4,4,0.43441668,1.902258097
5,4,0.44608334,1.743394948
6,4,0.3135,3.737706489
7,4,0.29641667,3.165575719
8,4,0.20191666,4.902947489
9,4,0.34683332,2.091958013
10,4,0.336,1.872336106
11,4,0.4765,1.678125254
12,4,0.31791666,2.559866536
13,4,0.40641665,1.767953154
14,4,0.32366666,2.788734476
15,4,0.39366665,2.969149677
16,4,0.38241667,2.349398737
17,4,0.43475,1.807323874
18,4,0.38291666,2.176899357
19,4,0.23475,4.850087645
0,5,0.7696667,0.675103376
1,5,0.76283336,0.698825676
2,5,0.76491666,0.694527381
3,5,0.7571667,0.712800739
4,5,0.76475,0.69203032
5,5,0.7661667,0.688598368
6,5,0.76033336,0.706388218
7,5,0.7614167,0.708554412
8,5,0.76241666,0.69508164
9,5,0.7669167,0.681851883
10,5,0.76241666,0.703164175
11,5,0.75983334,0.697449548
12,5,0.7503333,0.719040241
13,5,0.75058335,0.72104645
14,5,0.75491667,0.715244744
15,5,0.761,0.702962704
16,5,0.76308334,0.693388929
17,5,0.758,0.710232444
18,5,0.7579167,0.70220314
19,5,0.75408334,0.716627956
0,6,0.7345833,0.928620351
1,6,0.73475,0.944258184
2,6,0.7355833,0.91212442
3,6,0.71641666,1.02036475
4,6,0.7288333,0.948023603
5,6,0.7399167,0.928480068
6,6,0.72475,1.002986977
7,6,0.73125,0.94671067
8,6,0.73358333,0.936576934
9,6,0.7313333,0.933880327
10,6,0.7326667,0.948804355
11,6,0.72775,0.954725756
12,6,0.7140833,1.003073211
13,6,0.70875,1.069411097
14,6,0.72816664,1.003877414
15,6,0.73375,0.970136417
16,6,0.72858334,0.946787495
17,6,0.7234167,0.993320887
18,6,0.73483336,0.899391205
19,6,0.72316664,1.022015473
0,7,0.7696667,0.675103376
1,7,0.76283336,0.698825676
2,7,0.76491666,0.694527381
3,7,0.7571667,0.712800739
4,7,0.76475,0.69203032
5,7,0.7661667,0.688598368
6,7,0.76033336,0.706388218
7,7,0.7614167,0.708554412
8,7,0.76241666,0.69508164
9,7,0.7669167,0.681851883
10,7,0.76241666,0.703164175
11,7,0.75983334,0.697449548
12,7,0.7503333,0.719040241
13,7,0.75058335,0.72104645
14,7,0.75491667,0.715244744
15,7,0.761,0.702962704
16,7,0.76308334,0.693388929
17,7,0.758,0.710232444
18,7,0.7579167,0.70220314
19,7,0.75408334,0.716627956