Mutation Number,Run Num,Percentage,Accuracy,Loss
0,0,0.001,0.7629167,0.693756982
0,1,0.001,0.7629167,0.720197471
0,2,0.001,0.75091666,0.726818616
0,3,0.001,0.7600833,0.699908813
0,4,0.001,0.31658334,6.081985334
1,0,0.001,0.75525,0.70029817
1,1,0.001,0.75958335,0.702841444
1,2,0.001,0.74941665,0.737250189
1,3,0.001,0.75675,0.715035506
1,4,0.001,0.7568333,0.706276928
2,0,0.001,0.76175,0.702989169
2,1,0.001,0.7568333,0.709679537
2,2,0.001,0.72875,0.8095646
2,3,0.001,0.7683333,0.688960401
2,4,0.001,0.099583335,9.01503393
3,0,0.001,0.745,0.810725442
3,1,0.001,0.7564167,0.700989378
3,2,0.001,0.74875,0.741550811
3,3,0.001,0.7625,0.688408358
3,4,0.001,0.6843333,1.04818597
4,0,0.001,0.7550833,0.701621042
4,1,0.001,0.7543333,0.721567323
4,2,0.001,0.7579167,0.703361482
4,3,0.001,0.7585,0.724936291
4,4,0.001,0.7654167,0.688037263
0,0,0.005,0.7144167,0.8588199
0,1,0.005,0.76858336,0.683817985
0,2,0.005,0.7044167,0.891609174
0,3,0.005,0.73725,0.820477425
0,4,0.005,0.68333334,0.935298969
1,0,0.005,0.74591666,0.802974405
1,1,0.005,0.09741667,5.940301515
1,2,0.005,0.7586667,0.701377584
1,3,0.005,0.7564167,0.715885827
1,4,0.005,0.75625,0.706360656
2,0,0.005,0.70325,1.004425258
2,1,0.005,0.49775,2.295888535
2,2,0.005,0.74808335,0.738578973
2,3,0.005,0.76925,0.690178654
2,4,0.005,0.6613333,1.030430423
3,0,0.005,0.7524167,0.723670795
3,1,0.005,0.7485833,0.751678265
3,2,0.005,0.7355,0.783671464
3,3,0.005,0.5736667,1.639605218
3,4,0.005,0.7460833,0.746673838
4,0,0.005,0.6,1.249454935
4,1,0.005,0.63558334,1.322854425
4,2,0.005,0.7385833,0.780429211
4,3,0.005,0.75975,0.712586051
4,4,0.005,0.7535,0.726003516
0,0,0.01,0.70016664,1.041898159
0,1,0.01,0.004166667,14.31793277
0,2,0.01,0.75166667,0.727241459
0,3,0.01,0.73508334,0.774334717
0,4,0.01,0.62583333,1.240003522
1,0,0.01,0.75441664,0.704968288
1,1,0.01,0.40075,2.98391155
1,2,0.01,0.5643333,1.673027
1,3,0.01,0.74408334,0.766171813
1,4,0.01,0.47475,2.293042143
2,0,0.01,0.75725,0.712448296
2,1,0.01,0.73525,0.78092067
2,2,0.01,0.7270833,0.798516191
2,3,0.01,0.40475,2.66546208
2,4,0.01,0.726,0.80042177
3,0,0.01,0.1115,8.034252424
3,1,0.01,0.69666666,0.922865716
3,2,0.01,0.7435,0.777317511
3,3,0.01,0.744,0.789144486
3,4,0.01,0.101833336,8.169882178
4,0,0.01,0.58816665,1.219283752
4,1,0.01,0.206,9.610781166
4,2,0.01,0.6565833,1.157043961
4,3,0.01,0.48758334,2.303047876
4,4,0.01,0.7618333,0.702058743
0,0,0.05,0.13708334,12.52302244
0,1,0.05,0.55583334,1.444352381
0,2,0.05,0.099416666,16.45659665
0,3,0.05,0.09991667,21.38236909
0,4,0.05,0.40683332,2.945593789
1,0,0.05,0.212,7.721206941
1,1,0.05,0.19941667,9.00693816
1,2,0.05,0.09975,23.58634661
1,3,0.05,0.31525,4.243928551
1,4,0.05,0.36641666,2.539110007
2,0,0.05,0.1865,5.797452364
2,1,0.05,0.10333333,41.6810604
2,2,0.05,0.111,9.797822508
2,3,0.05,0.13766667,10.80747859
2,4,0.05,0.10333333,31.16823569
3,0,0.05,0.24916667,5.00459569
3,1,0.05,0.5135,1.400889241
3,2,0.05,0.34341666,1.971851897
3,3,0.05,0.09975,55.93685978
3,4,0.05,0.419,1.672624811
4,0,0.05,0.20375,6.609201474
4,1,0.05,0.09875,10.50361733
4,2,0.05,0.24716666,4.166489411
4,3,0.05,0.09883333,9.846100704
4,4,0.05,0.1,66.33597327
0,0,0.1,0.09725,110.0596764
0,1,0.1,0.115833335,22.17916949
0,2,0.1,0.10091667,133.352558
0,3,0.1,0.10333333,94.49470852
0,4,0.1,0.10333333,108.5112061
1,0,0.1,0.10608333,82.27789883
1,1,0.1,0.06908333,18.13503175
1,2,0.1,0.1005,59.12487107
1,3,0.1,0.09858333,69.08725649
1,4,0.1,0.2015,4.717534384
2,0,0.1,0.09916667,103.592625
2,1,0.1,0.10333333,128.1034067
2,2,0.1,0.14241667,9.038075376
2,3,0.1,0.10125,148.3014806
2,4,0.1,0.12258333,16.23005431
3,0,0.1,0.09841666,192.0716975
3,1,0.1,0.058333334,29.39339965
3,2,0.1,0.099,30.8653575
3,3,0.1,0.09975,46.85413168
3,4,0.1,0.1015,138.9715869
4,0,0.1,0.23433334,3.648301126
4,1,0.1,0.05008333,101.4111805
4,2,0.1,0.09991667,99.70410441
4,3,0.1,0.11491667,11.91107459
4,4,0.1,0.09883333,61.12451458