Layer Number,Run Number,Loss,Accuracy
1,0,0.660635308,0.7745
1,1,0.701193297,0.763333333
1,2,0.711741348,0.763
1,3,0.672105159,0.7665
1,4,0.661176534,0.777916667
1,5,0.69431115,0.76791667
1,6,0.67826271,0.76883333
1,7,0.68076889,0.76666667
1,8,0.70618653,0.7625
1,9,0.67757045,0.768
1,10,0.66547119,0.77916667
1,11,0.67943868,0.7715
1,12,0.67685073,0.76675
1,13,0.66701996,0.77083333
1,14,0.70216044,0.75941667
1,15,0.67455366,0.76966667
1,16,0.69378876,0.76916667
1,17,0.70119858,0.762
1,18,0.67632657,0.767
1,19,0.67257882,0.76783333
2,0,0.690588536,0.763916667
2,1,0.69293116,0.763083333
2,2,0.745178925,0.7525
2,3,0.733183078,0.748583333
2,4,0.686352851,0.763833333
2,5,0.6790601,0.77008333
2,6,0.70243149,0.76358333
2,7,0.6967416,0.76525
2,8,0.68135214,0.76591667
2,9,0.64848575,0.77258333
2,10,0.69266077,0.76975
2,11,0.6867911,0.76483333
2,12,0.64768764,0.77383333
2,13,0.66776293,0.77241667
2,14,0.71772192,0.759
2,15,0.65921528,0.77975
2,16,0.67578164,0.76941667
2,17,0.67667099,0.76791667
2,18,0.67160064,0.76966667
2,19,0.65252231,0.78141667
3,0,0.646569502,0.778
3,1,0.697174,0.75975
3,2,0.666722123,0.78175
3,3,0.698320176,0.757833333
3,4,0.667276938,0.774583333
3,5,0.8006001,0.71808333
3,6,0.78783077,0.72366667
3,7,0.83096568,0.70683333
3,8,0.81478193,0.72041667
3,9,0.79844827,0.71475
3,10,0.83074453,0.71075
3,11,0.80355065,0.72508333
3,12,0.81453996,0.71441667
3,13,0.80096971,0.72041667
3,14,0.82116568,0.714
3,15,0.79856936,0.72441667
3,16,0.82217884,0.71
3,17,0.81822234,0.71458333
3,18,0.83352922,0.7055
3,19,0.8148324,0.71416667
4,0,0.68174246,0.767333333
4,1,0.690335053,0.764333333
4,2,0.7053279,0.760166667
4,3,0.737525244,0.748666667
4,4,0.691381766,0.762916667
4,5,0.71892468,0.75508333
4,6,0.76083761,0.73833333
4,7,0.76086107,0.74591667
4,8,0.7180372,0.75133333
4,9,0.75484778,0.74158333
4,10,0.73304446,0.75583333
4,11,0.72210322,0.751
4,12,0.69209195,0.75925
4,13,0.75354361,0.74091667
4,14,0.74354789,0.74625
4,15,0.70126942,0.76308333
4,16,0.73478845,0.74358333
4,17,0.73123162,0.75325
4,18,0.73178162,0.75008333
4,19,0.70430367,0.76283333
5,0,0.808295336,0.717333333
5,1,0.788599416,0.723583333
5,2,0.803465256,0.720916667
5,3,0.800187065,0.721583333
5,4,0.817376723,0.714
5,5,0.67663253,0.76816667
5,6,0.63197101,0.78516667
5,7,0.69152069,0.7675
5,8,0.68782262,0.76891667
5,9,0.65269063,0.77983333
5,10,0.66915717,0.775
5,11,0.64733297,0.78
5,12,0.62208395,0.78708333
5,13,0.64445603,0.77933333
5,14,0.68065225,0.77091667
5,15,0.63163024,0.78291667
5,16,0.64299306,0.77883333
5,17,0.65661977,0.77966667
5,18,0.67483091,0.7715
5,19,0.6738694,0.77
6,0,0.748154039,0.7455
6,1,0.703982061,0.759166667
6,2,0.72693026,0.751166667
6,3,0.723091118,0.750416667
6,4,0.694365003,0.758333333
6,5,0.6887205,0.7645
6,6,0.6930815,0.76616667
6,7,0.76203174,0.75366667
6,8,0.68645442,0.7675
6,9,0.72679064,0.75458333
6,10,0.72945266,0.76216667
6,11,0.71616313,0.76825
6,12,0.68919379,0.76541667
6,13,0.69420646,0.76541667
6,14,0.72025356,0.75958333
6,15,0.70936957,0.7605
6,16,0.69512281,0.76416667
6,17,0.70981672,0.76133333
6,18,0.707965,0.758
6,19,0.68015494,0.76641667
7,0,0.631582935,0.784333333
7,1,0.645847759,0.779166667
7,2,0.683402455,0.778
7,3,0.669885323,0.767583333
7,4,0.652384938,0.774083333
7,5,0.75554531,0.73758333
7,6,0.76823362,0.73266667
7,7,0.73472898,0.74725
7,8,0.75573001,0.73958333
7,9,0.749735,0.74283333
7,10,0.74980041,0.74533333
7,11,0.75345857,0.73666667
7,12,0.73319755,0.74158333
7,13,0.72938817,0.74616667
7,14,0.73929616,0.74033333
7,15,0.73810042,0.74675
7,16,0.74729398,0.74108333
7,17,0.77340708,0.73308333
7,18,0.77962863,0.72983333
7,19,0.73023832,0.74625
8,0,0.703784014,0.759916667
8,1,0.66518782,0.769583333
8,2,0.686432966,0.764166667
8,3,0.705889794,0.759833333
8,4,0.703508564,0.765416667
8,5,0.70719969,0.75441667
8,6,0.72753175,0.7475
8,7,0.74188642,0.74441667
8,8,0.72897815,0.75133333
8,9,0.70576943,0.756
8,10,0.71204945,0.75766667
8,11,0.73983388,0.74508333
8,12,0.71339625,0.75141667
8,13,0.68631664,0.76433333
8,14,0.74757117,0.74025
8,15,0.70694168,0.7555
8,16,0.72902935,0.746
8,17,0.7174636,0.75216667
8,18,0.71509052,0.75058333
8,19,0.72397908,0.74683333
9,0,0.661564826,0.771083333
9,1,0.685605843,0.761
9,2,0.688521974,0.764666667
9,3,0.689972157,0.766833333
9,4,0.68013185,0.769083333
9,5,0.63582124,0.78141667
9,6,0.6445165,0.77983333
9,7,0.65686505,0.77608333
9,8,0.63544447,0.779
9,9,0.6556223,0.77416667
9,10,0.66794566,0.77408333
9,11,0.67237797,0.76991667
9,12,0.64228241,0.77533333
9,13,0.63873284,0.78175
9,14,0.71146883,0.76475
9,15,0.63811887,0.77975
9,16,0.65997434,0.77225
9,17,0.71833356,0.75725
9,18,0.64570537,0.77758333
9,19,0.65309272,0.77708333
10,0,0.701043867,0.761333333
10,1,0.687869496,0.763333333
10,2,0.682980309,0.76875
10,3,0.685416322,0.75875
10,4,0.685390266,0.766083333
10,5,0.7652382,0.738
10,6,0.78935665,0.7325
10,7,0.77518224,0.73233333
10,8,0.77212758,0.74175
10,9,0.77851521,0.73491667
10,10,0.77979656,0.74825
10,11,0.76354697,0.73875
10,12,0.75114698,0.73808333
10,13,0.80403874,0.73191667
10,14,0.81058973,0.72033333
10,15,0.79327052,0.73716667
10,16,0.76411045,0.73675
10,17,0.79970307,0.72833333
10,18,0.79402452,0.726
10,19,0.78765504,0.741
11,0,0.733325897,0.746083333
11,1,0.730772518,0.74825
11,2,0.744797064,0.742666667
11,3,0.735189467,0.742416667
11,4,0.720991362,0.750333333
11,5,0.69747065,0.7585
11,6,0.70343581,0.75691667
11,7,0.72521673,0.7515
11,8,0.73150601,0.74808333
11,9,0.71850646,0.7465
11,10,0.74914305,0.74341667
11,11,0.72142379,0.75491667
11,12,0.69976218,0.76125
11,13,0.6897725,0.75816667
11,14,0.72052768,0.75558333
11,15,0.70525697,0.75633333
11,16,0.69282147,0.7645
11,17,0.7058789,0.75525
11,18,0.71404303,0.75783333
11,19,0.70912586,0.757