Run Number,Mutation Number,Accuracy,Loss
0,0,0.740333333,1.000899225
0,1,0.721,1.069757609
0,2,0.688583333,1.230362376
0,3,0.701083333,1.187706728
0,4,0.666833333,1.347994284
1,0,0.596416667,2.000303404
1,1,0.723416667,1.077772842
1,2,0.677666667,1.485332575
1,3,0.663416667,1.291295001
1,4,0.654916667,1.61968974
2,0,0.747666667,0.940979171
2,1,0.604166667,1.766306559
2,2,0.695333333,1.221302369
2,3,0.724416667,1.106837471
2,4,0.714416667,1.078974701
3,0,0.678333333,1.309759864
3,1,0.696,1.295524824
3,2,0.600916667,1.879611661
3,3,0.670916667,1.311349279
3,4,0.695166667,1.18989553
4,0,0.652166667,1.424422291
4,1,0.60975,1.59522805
4,2,0.71725,1.096132334
4,3,0.725333333,1.05382783
4,4,0.696916667,1.166046947