"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.9906428571,0.0330657227
0,1,5,0.9908571429,0.0352168539
0,2,5,0.9917142857,0.0327088082
0,3,5,0.9895,0.0405053068
0,4,5,0.9900714286,0.0376030186
1,0,5,0.9903571429,0.0344672648
1,1,5,0.9895,0.0351878629
1,2,5,0.9907142857,0.0326676847
1,3,5,0.9892857143,0.0363092928
1,4,5,0.9899285714,0.0385930174
2,0,5,0.9899285714,0.0347591047
2,1,5,0.9902857143,0.0345252232
2,2,5,0.9912857143,0.0309177756
2,3,5,0.9887857143,0.0416592968
2,4,5,0.9891428571,0.0392067731
3,0,5,0.9901428571,0.0357857027
3,1,5,0.9904285714,0.03215773
3,2,5,0.9915714286,0.0312619393
3,3,5,0.9907857143,0.0442346771
3,4,5,0.9900714286,0.0357880439
4,0,5,0.9907142857,0.0363503589
4,1,5,0.9899285714,0.0344985665
4,2,5,0.9911428571,0.032384321
4,3,5,0.9902857143,0.0349681272
4,4,5,0.9906428571,0.0361350895
0,0,10,0.9902857143,0.039542645
0,1,10,0.9898571429,0.0389903043
0,2,10,0.9907142857,0.0356430381
0,3,10,0.9905714286,0.0740904017
0,4,10,0.9895714286,0.0522158559
1,0,10,0.9901428571,0.04033833
1,1,10,0.9900714286,0.0373702731
1,2,10,0.9908571429,0.0401927108
1,3,10,0.9887142857,0.0519219488
1,4,10,0.9893571429,0.0372242225
2,0,10,0.9897142857,0.0543658042
2,1,10,0.9901428571,0.0343609671
2,2,10,0.9914285714,0.0431471809
2,3,10,0.9902142857,0.0455780617
2,4,10,0.9900714286,0.0453027081
3,0,10,0.9896428571,0.0482563855
3,1,10,0.9899285714,0.0408655186
3,2,10,0.9897142857,0.0533664473
3,3,10,0.9907857143,0.0416807247
3,4,10,0.9893571429,0.0462992336
4,0,10,0.9883571429,0.0402186709
4,1,10,0.9883571429,0.0496634799
4,2,10,0.9908571429,0.0360620181
4,3,10,0.9906428571,0.0396997361
4,4,10,0.9905714286,0.0370646186
0,0,25,0.9897857143,0.0687739025
0,1,25,0.9900714286,0.0586524371
0,2,25,0.9907857143,0.0536976967
0,3,25,0.9901428571,0.0626071598
0,4,25,0.9901428571,0.0752835292
1,0,25,0.9892857143,0.080060007
1,1,25,0.9893571429,0.0578409693
1,2,25,0.9900714286,0.0809353865
1,3,25,0.9890714286,0.0714245614
1,4,25,0.9901428571,0.0606225855
2,0,25,0.99,0.0775012634
2,1,25,0.9900714286,0.068773261
2,2,25,0.9908571429,0.05744343
2,3,25,0.9897142857,0.0633005366
2,4,25,0.9898571429,0.0647784091
3,0,25,0.9903571429,0.0676465242
3,1,25,0.9902857143,0.0706888814
3,2,25,0.9910714286,0.048823167
3,3,25,0.9892142857,0.0591040853
3,4,25,0.9896428571,0.0634233011
4,0,25,0.9898571429,0.0665507977
4,1,25,0.9885,0.0597275591
4,2,25,0.9902142857,0.0752165852
4,3,25,0.9892142857,0.0608260215
4,4,25,0.9907142857,0.0561549551
0,0,50,0.9895714286,0.1006938885
0,1,50,0.9897857143,0.0847281937
0,2,50,0.9894285714,0.1008031942
0,3,50,0.9901428571,0.0986598323
0,4,50,0.9893571429,0.1030006687
1,0,50,0.9903571429,0.1032951402
1,1,50,0.9903571429,0.0844510485
1,2,50,0.9905714286,0.0974761202
1,3,50,0.9892857143,0.1112160556
1,4,50,0.9891428571,0.0938619387
2,0,50,0.9875714286,0.1074923658
2,1,50,0.9891428571,0.112213309
2,2,50,0.9899285714,0.107482832
2,3,50,0.9885,0.1024475388
2,4,50,0.9886428571,0.1046496319
3,0,50,0.9889285714,0.1219302569
3,1,50,0.9867857143,0.1073076191
3,2,50,0.9891428571,0.1209263904
3,3,50,0.9902857143,0.106237474
3,4,50,0.9875,0.1145332902
4,0,50,0.9885714286,0.0943923037
4,1,50,0.9895,0.0856627329
4,2,50,0.9900714286,0.093800881
4,3,50,0.9899285714,0.1000298281
4,4,50,0.9898571429,0.1159441929
0,0,75,0.9812142857,0.1773657132
0,1,75,0.9802857143,0.1785322706
0,2,75,0.9837857143,0.179272161
0,3,75,0.9815714286,0.1802494292
0,4,75,0.984,0.1816675553
1,0,75,0.9845,0.1754199181
1,1,75,0.9836428571,0.1746696211
1,2,75,0.9882142857,0.1704576487
1,3,75,0.9870714286,0.176411946
1,4,75,0.9857857143,0.1765339288
2,0,75,0.9836428571,0.1762690155
2,1,75,0.9858571429,0.1580201212
2,2,75,0.9852857143,0.1711552772
2,3,75,0.9870714286,0.1717555362
2,4,75,0.9881428571,0.1641293918
3,0,75,0.9862857143,0.171330693
3,1,75,0.9853571429,0.1606703141
3,2,75,0.9870714286,0.1715754262
3,3,75,0.9737142857,0.1885456744
3,4,75,0.9817142857,0.1809834078
4,0,75,0.9810714286,0.1796912611
4,1,75,0.9836428571,0.1744287531
4,2,75,0.9878571429,0.1680479309
4,3,75,0.9798571429,0.1927026185
4,4,75,0.9860714286,0.1795222212
0,0,80,0.9807142857,0.1938009033
0,1,80,0.9837857143,0.1960985791
0,2,80,0.9848571429,0.1893030085
0,3,80,0.9844285714,0.1969476694
0,4,80,0.9771428571,0.204515046
1,0,80,0.9747142857,0.2059774451
1,1,80,0.9854285714,0.1905412716
1,2,80,0.986,0.1916730441
1,3,80,0.9857142857,0.1989316999
1,4,80,0.9812857143,0.197777659
2,0,80,0.9787142857,0.2001487987
2,1,80,0.981,0.1946501101
2,2,80,0.9830714286,0.1917465321
2,3,80,0.9859285714,0.1980273354
2,4,80,0.9802142857,0.1997553222
3,0,80,0.9827142857,0.1972810294
3,1,80,0.984,0.1967739771
3,2,80,0.9865714286,0.1902563915
3,3,80,0.9834285714,0.1963876424
3,4,80,0.9868571429,0.1951254387
4,0,80,0.984,0.1917559561
4,1,80,0.9800714286,0.1966663829
4,2,80,0.9854285714,0.1893700105
4,3,80,0.9793571429,0.2054537255
4,4,80,0.9797142857,0.2009104144
0,0,85,0.9787857143,0.2243409169
0,1,85,0.9734285714,0.2232027386
0,2,85,0.9767142857,0.2203811301
0,3,85,0.9729285714,0.2319009658
0,4,85,0.975,0.2237873002
1,0,85,0.9771428571,0.2220005941
1,1,85,0.9722857143,0.2219568452
1,2,85,0.9722857143,0.2210159837
1,3,85,0.9765714286,0.2291489325
1,4,85,0.9732857143,0.2258379423
2,0,85,0.9802857143,0.2181798864
2,1,85,0.9619285714,0.2336029557
2,2,85,0.9807142857,0.2233183114
2,3,85,0.9751428571,0.2283784741
2,4,85,0.9743571429,0.2219573612
3,0,85,0.9788571429,0.2199730016
3,1,85,0.9762142857,0.219530687
3,2,85,0.9687142857,0.2316929937
3,3,85,0.9782142857,0.2325963596
3,4,85,0.9713571429,0.2282939365
4,0,85,0.9782857143,0.223364781
4,1,85,0.9831428571,0.2149522692
4,2,85,0.9779285714,0.2200092214
4,3,85,0.9815,0.2329586712
4,4,85,0.975,0.2219124992
0,0,90,0.9425714286,0.2726572211
0,1,90,0.9383571429,0.2651150774
0,2,90,0.9285714286,0.2603198352
0,3,90,0.9313571429,0.2777596395
0,4,90,0.9069285714,0.2600604543
1,0,90,0.9426428571,0.2711311755
1,1,90,0.9460714286,0.2614758562
1,2,90,0.9335,0.2652968292
1,3,90,0.9573571429,0.2665687679
1,4,90,0.9000714286,0.2584355721
2,0,90,0.9247857143,0.2698345487
2,1,90,0.9529285714,0.2650740083
2,2,90,0.9429285714,0.2628297224
2,3,90,0.8912142857,0.2753342522
2,4,90,0.9402857143,0.2725322272
3,0,90,0.9127142857,0.2600589805
3,1,90,0.9306428571,0.2696548828
3,2,90,0.9517857143,0.259435234
3,3,90,0.944,0.2676961685
3,4,90,0.9337142857,0.273073941
4,0,90,0.9365,0.2698440309
4,1,90,0.9684285714,0.2528735093
4,2,90,0.9359285714,0.2700803347
4,3,90,0.9499285714,0.2694428855
4,4,90,0.8936428571,0.2753776327
0,0,95,0.8931428571,0.3281003128
0,1,95,0.8929285714,0.3591807512
0,2,95,0.8893571429,0.3498101637
0,3,95,0.8901428571,0.3348492284
0,4,95,0.8921428571,0.3273267695
1,0,95,0.893,0.3318080099
1,1,95,0.8925714286,0.3261943178
1,2,95,0.8920714286,0.3321864651
1,3,95,0.8896428571,0.3449641196
1,4,95,0.8920714286,0.3417221495
2,0,95,0.8925,0.3291592786
2,1,95,0.8937857143,0.3304613219
2,2,95,0.8925714286,0.3279000718
2,3,95,0.8880714286,0.3509341604
2,4,95,0.8918571429,0.3465284727
3,0,95,0.8919285714,0.3336304781
3,1,95,0.8932857143,0.3233773873
3,2,95,0.8919285714,0.3289942989
3,3,95,0.8888571429,0.3408072194
3,4,95,0.8897142857,0.3357599695
4,0,95,0.8919285714,0.3308265956
4,1,95,0.8932142857,0.3266997401
4,2,95,0.8913571429,0.323303468
4,3,95,0.8897142857,0.3438109689
4,4,95,0.8907857143,0.3490270911
0,0,99,0.8919285714,0.480924658
0,1,99,0.8924285714,0.4868965613
0,2,99,0.8912142857,0.4883799989
0,3,99,0.8861428571,0.5164396514
0,4,99,0.8929285714,0.4775005074
1,0,99,0.8905714286,0.5094321412
1,1,99,0.8925714286,0.5582139167
1,2,99,0.8918571429,0.4671056736
1,3,99,0.8882857143,0.4866590351
1,4,99,0.8927142857,0.5124266567
2,0,99,0.8929285714,0.5027789226
2,1,99,0.8927142857,0.4746367803
2,2,99,0.8916428571,0.4897626884
2,3,99,0.8889285714,0.4977662654
2,4,99,0.8931428571,0.5193256769
3,0,99,0.8914285714,0.4893991256
3,1,99,0.8925,0.4802920652
3,2,99,0.8924285714,0.4843439465
3,3,99,0.8882142857,0.4677702792
3,4,99,0.8927142857,0.5121116662
4,0,99,0.8924285714,0.4824331452
4,1,99,0.8935,0.5005968437
4,2,99,0.8910714286,0.4654617785
4,3,99,0.89,0.4970394803
4,4,99,0.8914285714,0.4777891433
0,0,100,0.8922142857,0.6859713822
0,1,100,0.8908571429,0.6320595879
0,2,100,0.8920714286,0.7128642908
0,3,100,0.8883571429,0.8214184398
0,4,100,0.8922857143,0.7544298527
1,0,100,0.8920714286,0.7425468297
1,1,100,0.8928571429,0.6228742361
1,2,100,0.8925714286,0.7500050797
1,3,100,0.8898571429,0.7292192915
1,4,100,0.8935,0.8004828785
2,0,100,0.8921428571,0.7114759868
2,1,100,0.8924285714,0.6588361691
2,2,100,0.8901428571,0.6845753794
2,3,100,0.8892857143,0.6835760177
2,4,100,0.8937142857,0.638419038
3,0,100,0.8927857143,0.6728581949
3,1,100,0.8919285714,0.7912693839
3,2,100,0.8917142857,0.7196986694
3,3,100,0.8870714286,0.6469659574
3,4,100,0.8927142857,0.7230300328
4,0,100,0.8907857143,0.7968440783
4,1,100,0.8932857143,0.7750525054
4,2,100,0.8925714286,0.699110771
4,3,100,0.887,0.7454593489
4,4,100,0.8920714286,0.6727679111
