Mutation Number,Run Num,Percentage,St_Dev,Accuracy2,Loss
0,0,0.01,0.25,0.99000734,0.035572999
0,1,0.01,0.25,0.98883176,0.03437441
0,2,0.01,0.25,0.99030125,0.031096331
0,3,0.01,0.25,0.98883176,0.035498525
0,4,0.01,0.25,0.98839086,0.038344459
1,0,0.01,0.25,0.9901413,0.033434839
1,1,0.01,0.25,0.9899941,0.033937782
1,2,0.01,0.25,0.98984694,0.033444726
1,3,0.01,0.25,0.9882284,0.036405488
1,4,0.01,0.25,0.9882284,0.035223534
2,0,0.01,0.25,0.9918427,0.026135525
2,1,0.01,0.25,0.99213403,0.028070943
2,2,0.01,0.25,0.990386,0.031120591
2,3,0.01,0.25,0.99140567,0.029482061
2,4,0.01,0.25,0.992571,0.025892916
3,0,0.01,0.25,0.9895818,0.030619046
3,1,0.01,0.25,0.99016875,0.031738392
3,2,0.01,0.25,0.9891416,0.033257311
3,3,0.01,0.25,0.9879677,0.034901435
3,4,0.01,0.25,0.9895818,0.032829634
4,0,0.01,0.25,0.9899666,0.032539214
4,1,0.01,0.25,0.98967576,0.032490113
4,2,0.01,0.25,0.9905482,0.031494325
4,3,0.01,0.25,0.9905482,0.031610363
4,4,0.01,0.25,0.9899666,0.034547314
0,0,0.01,0.5,0.99000734,0.035759804
0,1,0.01,0.5,0.9894195,0.033880267
0,2,0.01,0.5,0.99030125,0.031094632
0,3,0.01,0.5,0.98912567,0.035246828
0,4,0.01,0.5,0.98853785,0.037928999
1,0,0.01,0.5,0.9905827,0.033385597
1,1,0.01,0.5,0.9901413,0.033808967
1,2,0.01,0.5,0.988817,0.033292487
1,3,0.01,0.5,0.98837554,0.036626779
1,4,0.01,0.5,0.9882284,0.036229102
2,0,0.01,0.5,0.99198836,0.026382343
2,1,0.01,0.5,0.99198836,0.027829516
2,2,0.01,0.5,0.990386,0.030277382
2,3,0.01,0.5,0.99140567,0.029580473
2,4,0.01,0.5,0.99198836,0.025594561
3,0,0.01,0.5,0.9894351,0.030591274
3,1,0.01,0.5,0.98987526,0.031779491
3,2,0.01,0.5,0.98928833,0.033210793
3,3,0.01,0.5,0.98826116,0.03508744
3,4,0.01,0.5,0.9894351,0.032798624
4,0,0.01,0.5,0.98982114,0.032331807
4,1,0.01,0.5,0.9904028,0.032339662
4,2,0.01,0.5,0.990839,0.031309072
4,3,0.01,0.5,0.9905482,0.031750457
4,4,0.01,0.5,0.98967576,0.034386322
0,0,0.01,0.75,0.9886848,0.036281047
0,1,0.01,0.75,0.98912567,0.034527572
0,2,0.01,0.75,0.99000734,0.031038282
0,3,0.01,0.75,0.98853785,0.036120643
0,4,0.01,0.75,0.98853785,0.038715482
1,0,0.01,0.75,0.9905827,0.03224178
1,1,0.01,0.75,0.98969984,0.034229131
1,2,0.01,0.75,0.9894055,0.033337202
1,3,0.01,0.75,0.98837554,0.03609226
1,4,0.01,0.75,0.98852265,0.034810843
2,0,0.01,0.75,0.993008,0.02675201
2,1,0.01,0.75,0.99198836,0.028262159
2,2,0.01,0.75,0.99024034,0.030929631
2,3,0.01,0.75,0.99126,0.02938145
2,4,0.01,0.75,0.991697,0.026991473
3,0,0.01,0.75,0.9895818,0.030384737
3,1,0.01,0.75,0.98928833,0.03147021
3,2,0.01,0.75,0.9891416,0.033195517
3,3,0.01,0.75,0.98767424,0.034938408
3,4,0.01,0.75,0.98928833,0.032762649
4,0,0.01,0.75,0.9904028,0.032449283
4,1,0.01,0.75,0.98967576,0.032398789
4,2,0.01,0.75,0.9906936,0.03140605
4,3,0.01,0.75,0.9904028,0.032081926
4,4,0.01,0.75,0.98967576,0.034694122
0,0,0.01,1,0.98912567,0.035844303
0,1,0.01,1,0.99000734,0.034131693
0,2,0.01,1,0.99030125,0.030992106
0,3,0.01,1,0.98839086,0.035134362
0,4,0.01,1,0.9886848,0.038452328
1,0,0.01,1,0.9905827,0.033044964
1,1,0.01,1,0.9886698,0.033981315
1,2,0.01,1,0.98911124,0.033310468
1,3,0.01,1,0.9880812,0.037793404
1,4,0.01,1,0.9880812,0.035353806
2,0,0.01,1,0.99155134,0.028469306
2,1,0.01,1,0.9922797,0.027786974
2,2,0.01,1,0.989949,0.031850182
2,3,0.01,1,0.99155134,0.029449484
2,4,0.01,1,0.993008,0.026045735
3,0,0.01,1,0.98928833,0.03135275
3,1,0.01,1,0.98884815,0.033183168
3,2,0.01,1,0.9891416,0.034372726
3,3,0.01,1,0.9875275,0.035679119
3,4,0.01,1,0.98928833,0.032810142
4,0,0.01,1,0.9899666,0.033587788
4,1,0.01,1,0.9899666,0.033593989
4,2,0.01,1,0.990839,0.031230255
4,3,0.01,1,0.9905482,0.03168661
4,4,0.01,1,0.98982114,0.034773823
0,0,0.25,0.25,0.9889787,0.036956428
0,1,0.25,0.25,0.98912567,0.036089373
0,2,0.25,0.25,0.9908891,0.031774621
0,3,0.25,0.25,0.98971343,0.035784742
0,4,0.25,0.25,0.98853785,0.038546586
1,0,0.25,0.25,0.98984694,0.034396159
1,1,0.25,0.25,0.9902884,0.034407956
1,2,0.25,0.25,0.9895527,0.032937778
1,3,0.25,0.25,0.9880812,0.037119082
1,4,0.25,0.25,0.9882284,0.034608952
2,0,0.25,0.25,0.99155134,0.026890511
2,1,0.25,0.25,0.99067736,0.029337712
2,2,0.25,0.25,0.9898034,0.03226156
2,3,0.25,0.25,0.99126,0.028798007
2,4,0.25,0.25,0.99286234,0.027181859
3,0,0.25,0.25,0.9895818,0.031386084
3,1,0.25,0.25,0.9887014,0.033604625
3,2,0.25,0.25,0.9884079,0.036121756
3,3,0.25,0.25,0.9879677,0.035285018
3,4,0.25,0.25,0.98826116,0.038682336
4,0,0.25,0.25,0.98982114,0.03314717
4,1,0.25,0.25,0.9895303,0.032911092
4,2,0.25,0.25,0.99098444,0.031111242
4,3,0.25,0.25,0.98865783,0.034175675
4,4,0.25,0.25,0.9892395,0.036714199
0,0,0.25,0.5,0.98824394,0.03809564
0,1,0.25,0.5,0.9872153,0.039095235
0,2,0.25,0.5,0.98486406,0.040939849
0,3,0.25,0.5,0.9855988,0.042385194
0,4,0.25,0.5,0.9873622,0.043315658
1,0,0.25,0.5,0.988817,0.036827903
1,1,0.25,0.5,0.9899941,0.035753845
1,2,0.25,0.5,0.98911124,0.034754283
1,3,0.25,0.5,0.98837554,0.037302171
1,4,0.25,0.5,0.98646265,0.04132836
2,0,0.25,0.5,0.9905317,0.030429162
2,1,0.25,0.5,0.9924253,0.027677758
2,2,0.25,0.5,0.99024034,0.032554685
2,3,0.25,0.5,0.9905317,0.030623428
2,4,0.25,0.5,0.98936635,0.030022653
3,0,0.25,0.5,0.9862069,0.038401681
3,1,0.25,0.5,0.9881145,0.040077698
3,2,0.25,0.5,0.9879677,0.03721092
3,3,0.25,0.5,0.98826116,0.037026175
3,4,0.25,0.5,0.9866471,0.041075553
4,0,0.25,0.5,0.98894864,0.035870236
4,1,0.25,0.5,0.9893849,0.033254212
4,2,0.25,0.5,0.99098444,0.033272156
4,3,0.25,0.5,0.9902574,0.032691975
4,4,0.25,0.5,0.9893849,0.035545415
0,0,0.25,0.75,0.9857458,0.046113745
0,1,0.25,0.75,0.9858927,0.047282683
0,2,0.25,0.75,0.9894195,0.033701068
0,3,0.25,0.75,0.98471713,0.044090421
0,4,0.25,0.75,0.98883176,0.040010252
1,0,0.25,0.75,0.98719835,0.038918368
1,1,0.25,0.75,0.98837554,0.037067463
1,2,0.25,0.75,0.9873455,0.042097268
1,3,0.25,0.75,0.98351973,0.050924741
1,4,0.25,0.75,0.9863155,0.039738276
2,0,0.25,0.75,0.98732704,0.043701556
2,1,0.25,0.75,0.98849237,0.036049864
2,2,0.25,0.75,0.98718137,0.043367829
2,3,0.25,0.75,0.98383105,0.049971126
2,4,0.25,0.75,0.98732704,0.042504329
3,0,0.25,0.75,0.9895818,0.034382174
3,1,0.25,0.75,0.9879677,0.040313861
3,2,0.25,0.75,0.98503304,0.04450062
3,3,0.25,0.75,0.9865004,0.040184173
3,4,0.25,0.75,0.9884079,0.035498054
4,0,0.25,0.75,0.98051476,0.059935593
4,1,0.25,0.75,0.98647666,0.042208898
4,2,0.25,0.75,0.99098444,0.03471424
4,3,0.25,0.75,0.9870583,0.038010013
4,4,0.25,0.75,0.9874945,0.039076152
0,0,0.25,1,0.98486406,0.049990278
0,1,0.25,1,0.98501104,0.046487129
0,2,0.25,1,0.98471713,0.047323007
0,3,0.25,1,0.97957385,0.061425626
0,4,0.25,1,0.9839824,0.054605977
1,0,0.25,1,0.9861683,0.045840002
1,1,0.25,1,0.9861683,0.045640451
1,2,0.25,1,0.9889641,0.037305947
1,3,0.25,1,0.9782225,0.068332554
1,4,0.25,1,0.98602116,0.044830035
2,0,0.25,1,0.98849237,0.037360537
2,1,0.25,1,0.9883467,0.037115963
2,2,0.25,1,0.98936635,0.037312351
2,3,0.25,1,0.9879097,0.038441668
2,4,0.25,1,0.97640204,0.075951719
3,0,0.25,1,0.9875275,0.04000485
3,1,0.25,1,0.98561996,0.044724078
3,2,0.25,1,0.9873808,0.040421349
3,3,0.25,1,0.97505504,0.082491097
3,4,0.25,1,0.9825385,0.050524768
4,0,0.25,1,0.9794969,0.064004512
4,1,0.25,1,0.9890941,0.041953557
4,2,0.25,1,0.98763996,0.04009391
4,3,0.25,1,0.9854588,0.049059911
4,4,0.25,1,0.9848771,0.051601468
0,0,0.5,0.25,0.98839086,0.038120247
0,1,0.5,0.25,0.9886848,0.035501792
0,2,0.5,0.25,0.991036,0.031420614
0,3,0.5,0.25,0.9894195,0.03476549
0,4,0.5,0.25,0.98883176,0.037185227
1,0,0.5,0.25,0.9901413,0.033998122
1,1,0.5,0.25,0.98911124,0.036208353
1,2,0.5,0.25,0.9876398,0.040457308
1,3,0.5,0.25,0.9876398,0.036254547
1,4,0.5,0.25,0.98793405,0.038385688
2,0,0.5,0.25,0.991697,0.028616313
2,1,0.5,0.25,0.99198836,0.029184416
2,2,0.5,0.25,0.99067736,0.032038942
2,3,0.5,0.25,0.9909687,0.031046618
2,4,0.5,0.25,0.99359065,0.027431115
3,0,0.5,0.25,0.98899484,0.033161081
3,1,0.5,0.25,0.98987526,0.033007184
3,2,0.5,0.25,0.9879677,0.040817519
3,3,0.5,0.25,0.9870873,0.03753659
3,4,0.5,0.25,0.990022,0.032621493
4,0,0.5,0.25,0.98967576,0.034511441
4,1,0.5,0.25,0.9895303,0.033956168
4,2,0.5,0.25,0.98967576,0.033665263
4,3,0.5,0.25,0.99156606,0.032979992
4,4,0.5,0.25,0.9892395,0.036698346
0,0,0.5,0.5,0.9854519,0.046700593
0,1,0.5,0.5,0.98824394,0.039203693
0,2,0.5,0.5,0.98824394,0.035510049
0,3,0.5,0.5,0.98795,0.038303503
0,4,0.5,0.5,0.98471713,0.050673567
1,0,0.5,0.5,0.9874926,0.042008368
1,1,0.5,0.5,0.98837554,0.035936832
1,2,0.5,0.5,0.98778695,0.039298361
1,3,0.5,0.5,0.98425543,0.046165825
1,4,0.5,0.5,0.9869041,0.042050744
2,0,0.5,0.5,0.99024034,0.03092706
2,1,0.5,0.5,0.9911143,0.031612628
2,2,0.5,0.5,0.98849237,0.039516718
2,3,0.5,0.5,0.9896577,0.035364217
2,4,0.5,0.5,0.9909687,0.029745539
3,0,0.5,0.5,0.98694056,0.039106663
3,1,0.5,0.5,0.9881145,0.037119638
3,2,0.5,0.5,0.9851797,0.048048594
3,3,0.5,0.5,0.98561996,0.043730373
3,4,0.5,0.5,0.98635364,0.040291699
4,0,0.5,0.5,0.98647666,0.043056222
4,1,0.5,0.5,0.9869129,0.043490073
4,2,0.5,0.5,0.9874945,0.038619982
4,3,0.5,0.5,0.9870583,0.045835382
4,4,0.5,0.5,0.9882216,0.037919346
0,0,0.5,0.75,0.98016167,0.065140561
0,1,0.5,0.75,0.98280674,0.056441449
0,2,0.5,0.75,0.9823659,0.054682437
0,3,0.5,0.75,0.9829537,0.05182536
0,4,0.5,0.75,0.9773696,0.070558812
1,0,0.5,0.75,0.9861683,0.044969216
1,1,0.5,0.75,0.9776339,0.069990899
1,2,0.5,0.75,0.9824897,0.056662169
1,3,0.5,0.75,0.98528546,0.047130403
1,4,0.5,0.75,0.980724,0.064623044
2,0,0.5,0.75,0.9876183,0.038273719
2,1,0.5,0.75,0.9839767,0.049910038
2,2,0.5,0.75,0.9898034,0.038809936
2,3,0.5,0.75,0.9883467,0.038037428
2,4,0.5,0.75,0.9826657,0.0539248
3,0,0.5,0.75,0.97769624,0.06549137
3,1,0.5,0.75,0.9865004,0.045661107
3,2,0.5,0.75,0.9845928,0.055927791
3,3,0.5,0.75,0.9832722,0.051249567
3,4,0.5,0.75,0.9854732,0.050634231
4,0,0.5,0.75,0.9603025,0.126165253
4,1,0.5,0.75,0.9821143,0.057749247
4,2,0.5,0.75,0.9860404,0.044911595
4,3,0.5,0.75,0.97469825,0.082620779
4,4,0.5,0.75,0.9857496,0.042694429
0,0,0.5,1,0.9595885,0.109387362
0,1,0.5,1,0.96370316,0.118821476
0,2,0.5,1,0.96693605,0.103297301
0,3,0.5,1,0.94797945,0.162280543
0,4,0.5,1,0.9803086,0.061861454
1,0,0.5,1,0.98602116,0.045459993
1,1,0.5,1,0.97042376,0.095969364
1,2,0.5,1,0.949382,0.147884281
1,3,0.5,1,0.96645087,0.106137119
1,4,0.5,1,0.89743966,0.309810943
2,0,0.5,1,0.9501821,0.139223774
2,1,0.5,1,0.9624181,0.118703282
2,2,0.5,1,0.9857247,0.045936767
2,3,0.5,1,0.9587764,0.132694981
2,4,0.5,1,0.9678077,0.099267616
3,0,0.5,1,0.9771093,0.0672219
3,1,0.5,1,0.9848863,0.047386409
3,2,0.5,1,0.9423331,0.188740329
3,3,0.5,1,0.977843,0.068767596
3,4,0.5,1,0.97666913,0.070820879
4,0,0.5,1,0.97760653,0.066846325
4,1,0.5,1,0.98531336,0.04635016
4,2,0.5,1,0.9617566,0.118700124
4,3,0.5,1,0.9531773,0.138849097
4,4,0.5,1,0.98444086,0.048882364
0,0,0.75,0.25,0.98912567,0.038892383
0,1,0.75,0.25,0.98883176,0.036207912
0,2,0.75,0.25,0.99059516,0.031480961
0,3,0.75,0.25,0.98633355,0.040734708
0,4,0.75,0.25,0.988097,0.039437892
1,0,0.75,0.25,0.9902884,0.033395542
1,1,0.75,0.25,0.9892584,0.034710419
1,2,0.75,0.25,0.988817,0.037292847
1,3,0.75,0.25,0.98852265,0.037547909
1,4,0.75,0.25,0.98911124,0.034011252
2,0,0.75,0.25,0.990386,0.02792857
2,1,0.75,0.25,0.99067736,0.029750436
2,2,0.75,0.25,0.9898034,0.032334491
2,3,0.75,0.25,0.989949,0.032505277
2,4,0.75,0.25,0.9924253,0.026255185
3,0,0.75,0.25,0.98884815,0.031491514
3,1,0.75,0.25,0.9897285,0.034786238
3,2,0.75,0.25,0.9884079,0.036344374
3,3,0.75,0.25,0.9884079,0.033904351
3,4,0.75,0.25,0.9894351,0.036519536
4,0,0.75,0.25,0.9893849,0.039701216
4,1,0.75,0.25,0.98982114,0.034244877
4,2,0.75,0.25,0.9902574,0.033152584
4,3,0.75,0.25,0.9895303,0.033323783
4,4,0.75,0.25,0.98880327,0.037643954
0,0,0.75,0.5,0.98633355,0.04430255
0,1,0.75,0.5,0.98648053,0.044252844
0,2,0.75,0.5,0.9895665,0.038149835
0,3,0.75,0.5,0.97986776,0.06574325
0,4,0.75,0.5,0.98457015,0.04818985
1,0,0.75,0.5,0.97527957,0.073298011
1,1,0.75,0.5,0.9892584,0.03920604
1,2,0.75,0.5,0.98646265,0.041842875
1,3,0.75,0.5,0.9854326,0.044819873
1,4,0.75,0.5,0.9779282,0.067242072
2,0,0.75,0.5,0.9861617,0.043482502
2,1,0.75,0.5,0.984268,0.046351867
2,2,0.75,0.5,0.98878366,0.036584633
2,3,0.75,0.5,0.9870357,0.043188291
2,4,0.75,0.5,0.9870357,0.037785338
3,0,0.75,0.5,0.9857667,0.046764863
3,1,0.75,0.5,0.98723406,0.04155496
3,2,0.75,0.5,0.98899484,0.037708329
3,3,0.75,0.5,0.9854732,0.046317725
3,4,0.75,0.5,0.98694056,0.039503643
4,0,0.75,0.5,0.988367,0.036747677
4,1,0.75,0.5,0.98894864,0.038075993
4,2,0.75,0.5,0.9890941,0.037464174
4,3,0.75,0.5,0.9824051,0.05630342
4,4,0.75,0.5,0.98153263,0.058010595
0,0,0.75,0.75,0.9819251,0.059436283
0,1,0.75,0.75,0.9811903,0.062668272
0,2,0.75,0.75,0.97766346,0.072906817
0,3,0.75,0.75,0.9835415,0.056931803
0,4,0.75,0.75,0.96767086,0.102989089
1,0,0.75,0.75,0.9657151,0.121026664
1,1,0.75,0.75,0.9814597,0.056646109
1,2,0.75,0.75,0.9811654,0.054683442
1,3,0.75,0.75,0.9857269,0.046865355
1,4,0.75,0.75,0.9861683,0.047755994
2,0,0.75,0.75,0.98601604,0.04273073
2,1,0.75,0.75,0.94552076,0.156897618
2,2,0.75,0.75,0.9861617,0.044413156
2,3,0.75,0.75,0.975965,0.075609148
2,4,0.75,0.75,0.9780044,0.066600585
3,0,0.75,0.75,0.97432137,0.081173414
3,1,0.75,0.75,0.9796038,0.062994116
3,2,0.75,0.75,0.9809244,0.053784637
3,3,0.75,0.75,0.960675,0.104548624
3,4,0.75,0.75,0.98723406,0.042594926
4,0,0.75,0.75,0.9867675,0.045901712
4,1,0.75,0.75,0.97673404,0.07918993
4,2,0.75,0.75,0.985168,0.04770899
4,3,0.75,0.75,0.9872037,0.044134249
4,4,0.75,0.75,0.98415005,0.048401728
0,0,0.75,1,0.97266716,0.082350793
0,1,0.75,1,0.9681117,0.097383393
0,2,0.75,1,0.9012491,0.26181597
0,3,0.75,1,0.9520941,0.138043668
0,4,0.75,1,0.97619396,0.073802461
1,0,0.75,1,0.93246025,0.224849769
1,1,0.75,1,0.9795468,0.067091432
1,2,0.75,1,0.9206886,0.204706543
1,3,0.75,1,0.9651266,0.107990602
1,4,0.75,1,0.95085347,0.14755878
2,0,0.75,1,0.9245448,0.225244332
2,1,0.75,1,0.97902405,0.062057962
2,2,0.75,1,0.9769847,0.072238968
2,3,0.75,1,0.94420975,0.187837862
2,4,0.75,1,0.8739985,0.569306315
3,0,0.75,1,0.98429936,0.05300048
3,1,0.75,1,0.98268527,0.055191237
3,2,0.75,1,0.9065297,0.267232284
3,3,0.75,1,0.9797506,0.074656237
3,4,0.75,1,0.9740279,0.07484369
4,0,0.75,1,0.96510106,0.105314477
4,1,0.75,1,0.979206,0.070041694
4,2,0.75,1,0.97440743,0.080898204
4,3,0.75,1,0.9796423,0.066005597
4,4,0.75,1,0.8855606,0.326316345
0,0,1,0.25,0.98633355,0.04039613
0,1,1,0.25,0.98971343,0.035077278
0,2,1,0.25,0.9894195,0.033212936
0,3,1,0.25,0.9860397,0.044967158
0,4,1,0.25,0.988097,0.03929807
1,0,1,0.25,0.9902884,0.033814983
1,1,1,0.25,0.9892584,0.035416039
1,2,1,0.25,0.98837554,0.036188252
1,3,1,0.25,0.9895527,0.036037589
1,4,1,0.25,0.9869041,0.039829109
2,0,1,0.25,0.99198836,0.027752087
2,1,1,0.25,0.9924253,0.027899801
2,2,1,0.25,0.98878366,0.035177535
2,3,1,0.25,0.99126,0.029984554
2,4,1,0.25,0.992571,0.026242107
3,0,1,0.25,0.9895818,0.034419769
3,1,1,0.25,0.990022,0.032521737
3,2,1,0.25,0.9857667,0.04278555
3,3,1,0.25,0.98532647,0.041368224
3,4,1,0.25,0.98826116,0.035638503
4,0,1,0.25,0.9892395,0.03456048
4,1,1,0.25,0.98894864,0.036863067
4,2,1,0.25,0.990839,0.033187775
4,3,1,0.25,0.9880762,0.0379758
4,4,1,0.25,0.988367,0.036823103
0,0,1,0.5,0.98530495,0.050186456
0,1,1,0.5,0.9782513,0.069465529
0,2,1,0.5,0.97927994,0.058516883
0,3,1,0.5,0.98486406,0.047634572
0,4,1,0.5,0.98515797,0.049797137
1,0,1,0.5,0.9880812,0.037377805
1,1,1,0.5,0.9830783,0.052455789
1,2,1,0.5,0.9867569,0.04419475
1,3,1,0.5,0.983814,0.050052132
1,4,1,0.5,0.96909946,0.090385809
2,0,1,0.5,0.98732704,0.043421175
2,1,1,0.5,0.989949,0.034670424
2,2,1,0.5,0.985579,0.043123416
2,3,1,0.5,0.98689,0.040352193
2,4,1,0.5,0.98528767,0.043957133
3,0,1,0.5,0.98767424,0.036402714
3,1,1,0.5,0.98635364,0.041920555
3,2,1,0.5,0.98473954,0.04270825
3,3,1,0.5,0.9819516,0.061764264
3,4,1,0.5,0.9851797,0.046031252
4,0,1,0.5,0.9866221,0.046588177
4,1,1,0.5,0.98763996,0.04214284
4,2,1,0.5,0.9870583,0.043371279
4,3,1,0.5,0.98138726,0.062421469
4,4,1,0.5,0.9821143,0.055725985
0,0,1,0.75,0.96311533,0.109758518
0,1,1,0.75,0.96487874,0.117286035
0,2,1,0.75,0.97810435,0.060380134
0,3,1,0.75,0.9722263,0.077438511
0,4,1,0.75,0.96561354,0.09915741
1,0,1,0.75,0.9782225,0.074602092
1,1,1,0.75,0.9773396,0.072907628
1,2,1,0.75,0.9590936,0.124776641
1,3,1,0.75,0.97351384,0.078025875
1,4,1,0.75,0.9768982,0.081711075
2,0,1,0.75,0.98412234,0.051850905
2,1,1,0.75,0.98718137,0.045119696
2,2,1,0.75,0.9328478,0.20039585
2,3,1,0.75,0.9883467,0.040965783
2,4,1,0.75,0.98528767,0.043132917
3,0,1,0.75,0.97857666,0.058923752
3,1,1,0.75,0.97696257,0.074670681
3,2,1,0.75,0.95480555,0.141505255
3,3,1,0.75,0.96757156,0.095031511
3,4,1,0.75,0.9870873,0.04368146
4,0,1,0.75,0.85691434,0.507105097
4,1,1,0.75,0.95652175,0.145148506
4,2,1,0.75,0.9765886,0.078135034
4,3,1,0.75,0.97455287,0.088717082
4,4,1,0.75,0.97557074,0.073885861
0,0,1,1,0.9113887,0.291756207
0,1,1,1,0.8511389,0.516843338
0,2,1,1,0.92285085,0.252031678
0,3,1,1,0.9629684,0.09752043
0,4,1,1,0.9626745,0.11610956
1,0,1,1,0.8934668,0.337090365
1,1,1,1,0.9017069,0.269901006
1,2,1,1,0.94658625,0.177278288
1,3,1,1,0.94467336,0.167501003
1,4,1,1,0.96645087,0.105430856
2,0,1,1,0.9423161,0.162763731
2,1,1,1,0.9713037,0.088099115
2,2,1,1,0.9533867,0.150237493
2,3,1,1,0.87851423,0.388490951
2,4,1,1,0.90050983,0.271809058
3,0,1,1,0.81467354,0.706560853
3,1,1,1,0.94292,0.169789471
3,2,1,1,0.9414527,0.163941584
3,3,1,1,0.96184886,0.113848276
3,4,1,1,0.9178283,0.237451528
4,0,1,1,0.97426206,0.076243088
4,1,1,1,0.94590664,0.170039508
4,2,1,1,0.87218267,0.363343075
4,3,1,1,0.90286463,0.268042845
4,4,1,1,0.9147884,0.216405071