Run Number,Accuracy1,Loss1,Accuracy2,Loss2
0,0.995135511,0.018434183,0.988684791,0.035082584
1,0.993337035,0.025218573,0.988669806,0.035824272
2,0.993412754,0.02278768,0.991551347,0.029327281
3,0.994850383,0.017887473,0.989288335,0.034017944
4,0.993963218,0.018819318,0.99025738,0.03570137
5,0.993842709,0.022322401,0.990516487,0.03141638
6,0.993945368,0.021599993,0.988257466,0.035927956
7,0.994115999,0.020033123,0.989653162,0.038076227
8,0.994690513,0.018570359,0.990939646,0.033283548
9,0.993555618,0.022001303,0.988633052,0.036639634
10,0.995000694,0.017851832,0.988380644,0.034821237
11,0.995760317,0.013635181,0.989312536,0.036373087
12,0.991729745,0.024390679,0.990387416,0.029012405
13,0.99261427,0.024848674,0.990474795,0.033385524
14,0.995042493,0.015011934,0.988904899,0.03099663
15,0.994047619,0.019318308,0.99040732,0.028675474
16,0.993199167,0.026467957,0.988226637,0.036333707
17,0.994255289,0.016609969,0.990383214,0.033318131
18,0.99362351,0.023474885,0.990863543,0.029955963
19,0.993312901,0.020842813,0.990618587,0.032501689