Mutation Number,Layer Num,Accuracy2,Loss
0,0,0.9886848,0.035082581
1,0,0.9886698,0.035824262
2,0,0.99155134,0.02932727
3,0,0.98928833,0.03401794
4,0,0.9902574,0.035701367
5,0,0.9905165,0.031416374
6,0,0.98825747,0.035927952
7,0,0.98965317,0.038076225
8,0,0.9909396,0.033283538
9,0,0.98863304,0.03663963
10,0,0.9883807,0.034821232
11,0,0.9893125,0.036373082
12,0,0.99038744,0.029012403
13,0,0.9904748,0.033385517
14,0,0.9889049,0.03099662
15,0,0.99040735,0.028675472
16,0,0.98822665,0.036333699
17,0,0.9903832,0.033318124
18,0,0.99086356,0.029955955
19,0,0.9906186,0.032501684
0,1,0.9886848,0.035082581
1,1,0.9886698,0.035824262
2,1,0.99155134,0.02932727
3,1,0.98928833,0.03401794
4,1,0.9902574,0.035701367
5,1,0.9905165,0.031416374
6,1,0.98825747,0.035927952
7,1,0.98965317,0.038076225
8,1,0.9909396,0.033283538
9,1,0.98863304,0.03663963
10,1,0.9883807,0.034821232
11,1,0.9893125,0.036373082
12,1,0.99038744,0.029012403
13,1,0.9904748,0.033385517
14,1,0.9889049,0.03099662
15,1,0.99040735,0.028675472
16,1,0.98822665,0.036333699
17,1,0.9903832,0.033318124
18,1,0.99086356,0.029955955
19,1,0.9906186,0.032501684
0,2,0.9886848,0.035082581
1,2,0.9886698,0.035824262
2,2,0.99155134,0.02932727
3,2,0.98928833,0.03401794
4,2,0.9902574,0.035701367
5,2,0.9905165,0.031416374
6,2,0.98825747,0.035927952
7,2,0.98965317,0.038076225
8,2,0.9909396,0.033283538
9,2,0.98863304,0.03663963
10,2,0.9883807,0.034821232
11,2,0.9893125,0.036373082
12,2,0.99038744,0.029012403
13,2,0.9904748,0.033385517
14,2,0.9889049,0.03099662
15,2,0.99040735,0.028675472
16,2,0.98822665,0.036333699
17,2,0.9903832,0.033318124
18,2,0.99086356,0.029955955
19,2,0.9906186,0.032501684
0,3,0.9886848,0.035082581
1,3,0.9886698,0.035824262
2,3,0.99155134,0.02932727
3,3,0.98928833,0.03401794
4,3,0.9902574,0.035701367
5,3,0.9905165,0.031416374
6,3,0.98825747,0.035927952
7,3,0.98965317,0.038076225
8,3,0.9909396,0.033283538
9,3,0.98863304,0.03663963
10,3,0.9883807,0.034821232
11,3,0.9893125,0.036373082
12,3,0.99038744,0.029012403
13,3,0.9904748,0.033385517
14,3,0.9889049,0.03099662
15,3,0.99040735,0.028675472
16,3,0.98822665,0.036333699
17,3,0.9903832,0.033318124
18,3,0.99086356,0.029955955
19,3,0.9906186,0.032501684
0,4,0.9886848,0.035082581
1,4,0.9886698,0.035824262
2,4,0.99155134,0.02932727
3,4,0.98928833,0.03401794
4,4,0.9902574,0.035701367
5,4,0.9905165,0.031416374
6,4,0.98825747,0.035927952
7,4,0.98965317,0.038076225
8,4,0.9909396,0.033283538
9,4,0.98863304,0.03663963
10,4,0.9883807,0.034821232
11,4,0.9893125,0.036373082
12,4,0.99038744,0.029012403
13,4,0.9904748,0.033385517
14,4,0.9889049,0.03099662
15,4,0.99040735,0.028675472
16,4,0.98822665,0.036333699
17,4,0.9903832,0.033318124
18,4,0.99086356,0.029955955
19,4,0.9906186,0.032501684